key,title,description,time,calories,tags,ingredients,steps
"risotto","Milanese Saffron Risotto (Risotto alla Milanese)","The golden soul of Lombardy, featuring short-grain Arborio rice, hand-harvested saffron, and the mandatory 'Manteca' emulsion.","45 mins","520","Italian | Vegetarian","2 cups Arborio or Carnaroli rice | 1.5 liters High-quality chicken or beef bone broth, simmering | 1/2 tsp Saffron threads, steeped in warm broth | 2 Large shallots, brunoise | 1/2 cup Dry white wine (Pinot Grigio or Sauvignon Blanc) | 4 tbsp Cold unsalted butter, cubed | 1 cup Parmigiano-Reggiano, freshly grated | 2 tbsp Bone marrow (optional but authentic)","Step 1: The Brunoise (Knife Skills). Mince the **2 large shallots** into perfect 2mm cubes. | Step 2: The Soffritto. Heat a **knob of butter (approx 1 tbsp)** in a pan. Sauté the shallots over low heat until translucent. | Step 3: The Tostatura (Toasting). Add the **2 cups of rice** to the pan. Stir constantly until edges are translucent. | Step 4: The Sfumatira (Deglazing). Pour in the **1/2 cup white wine**. Stir until completely absorbed by the rice. | Step 5: The Slow Infusion. Add the **1.5 liters of broth** one ladle at a time. Add the **1/2 tsp saffron threads** halfway through. | Step 6: The Mantecatura (Emulsion). Once rice is al dente, remove from heat. Vigorously beat in the **4 tbsp cold butter** and **1 cup Parmigiano-Reggiano**. | Step 7: The Plating (All'onda). Ladle onto a warm plate. Tap the bottom so it spreads flat. Garnish with a **generous pinch of saffron**."
"idli","Steamed Rice Idli","Soft, fluffy steamed cakes made from a fermented batter of rice and de-husked black lentils.","30 mins","65","South Indian | Breakfast | Vegan | Fermented","2 cups Idli Rice | 1/2 cup Urad Dal | 1/4 tsp Fenugreek seeds | Salt to taste","Step 1: The Soak. Soak rice and lentils separately with fenugreek for 6 hours. | Step 2: The Grind. Grind to a smooth, thick batter. Consistency should be slightly grainy for rice and airy for lentils. | Step 3: The Fermentation. Mix batters and ferment in a warm place for 8-12 hours until it doubles in volume. | Step 4: The Steam. Pour into greased molds and steam for 10-12 minutes until a toothpick comes out clean."
"masala dosa","Classic Masala Dosa","Thin, crispy fermented rice and lentil crepes filled with a spiced potato 'palya'.","40 mins","421","South Indian | Breakfast | Vegetarian | Crispy","3 cups Rice | 1 cup Urad Dal | Potato Palya (Potatoes, Onions, Turmeric) | Ghee or Oil","Step 1: The Batter. Ferment rice-lentil batter until slightly sour. | Step 2: The Heat. Preheat a cast-iron tawa until water droplets sizzle and evaporate immediately. | Step 3: The Spread. Ladle batter and spread in a thin, concentric spiral. | Step 4: The Crisp. Drizzle ghee around edges. Cook until the bottom is deep golden brown. | Step 5: The Filling. Place spiced potato mash in the center and fold."
"chicken chettinad","Aromatic Chicken Chettinad","A fiery Tamil Nadu classic using a complex blend of 16 spices including stone flower and kalpasi.","50 mins","325","Tamil Nadu | Spicy | High Protein","1kg Chicken | Chettinad Masala (Fennel, Peppercorns, Kalpasi) | Shallots | Curry leaves | Coconut","Step 1: The Spice Roast. Dry roast whole spices until they release essential oils. Grind to a fine paste. | Step 2: The Sauté. Fry shallots and curry leaves in gingelly oil until softened. | Step 3: The Infusion. Add chicken and the ground masala paste. Sear meat to lock in juices. | Step 4: The Simmer. Cook on low heat with minimal water until chicken is tender and oil separates."
"meen moilee","Kerala Fish Moilee","A mild, stew-style fish curry from Kerala made with coconut milk, ginger, and green chilies.","30 mins","375","Kerala | Seafood | Creamy | Mild","500g Kingfish or Pomfret | 2 cups Coconut milk | Turmeric | Ginger slivers | Green chilies | Vinegar","Step 1: The Marinade. Coat fish with turmeric and salt. Pan-fry lightly. | Step 2: The Base. Sauté ginger, garlic, and chilies in coconut oil. | Step 3: The Thin Milk. Add thin coconut milk and turmeric. Simmer. | Step 4: The Poach. Add fish pieces. Cook gently. | Step 5: The Finish. Add thick coconut milk and a dash of vinegar. Do not boil further."
"mysore pak","Traditional Mysore Pak","A rich, porous, and melt-in-the-mouth sweet from Karnataka made of gram flour, sugar, and pure ghee.","40 mins","160","Dessert | Karnataka | Indulgent","1 cup Gram flour (Besan) | 2 cups Sugar | 2 cups Pure Ghee","Step 1: The Sift. Sift besan to remove all lumps. | Step 2: The Syrup. Boil sugar with water to a one-string consistency. | Step 3: The Emulsion. Gradually add besan to syrup while whisking. | Step 4: The Ghee Rain. Pour in hot, bubbling ghee while stirring vigorously. The mixture will froth and become porous. | Step 5: The Set. Pour into a tray immediately. Cut while still warm."
"sambar","Classic South Indian Sambar","A staple lentil-based vegetable stew with a complex tamarind-spice profile.","40 mins","187","South Indian | Vegan | High Fiber","1 cup Toor Dal | Mixed Vegetables (Drumstick, Pumpkin, Carrot) | Sambar Masala | Tamarind pulp","Step 1: The Dal. Pressure cook lentils with turmeric until mushy. | Step 2: The Veg. Boil vegetables in tamarind water with sambar powder. | Step 3: The Marriage. Combine lentils and vegetables. Simmer. | Step 4: The Tempering. Fry mustard, curry leaves, and hing in ghee and pour over."
"rasam","Tangy Tomato Rasam","A light, digestive soup-style dish flavored with black pepper, cumin, and tamarind.","20 mins","60","Healthy | Quick | Vegan","Tomatoes | Tamarind water | Black pepper | Cumin seeds | Garlic","Step 1: The Crush. Coarsely crush pepper, cumin, and garlic. | Step 2: The Base. Simmer tomatoes and tamarind water with turmeric. | Step 3: The Infusion. Add the crushed spice mix. | Step 4: The Tadka. Temper with mustard and curry leaves. Finish with fresh cilantro."
"avial","Kerala Avial","A celebratory mixed vegetable dish in a thick coconut and yogurt gravy.","35 mins","240","Kerala | Vegetarian | Coconut-Based","Mixed Vegetables (Yam, Raw Banana, Beans) | Grated Coconut | Cumin | Green chilies | Yogurt | Coconut oil","Step 1: The Cut. Slice vegetables into uniform batons. | Step 2: The Steam. Cook vegetables with turmeric and minimal water. | Step 3: The Paste. Grind coconut, cumin, and chilies into a coarse paste. | Step 4: The Blend. Fold paste into vegetables. Add yogurt and finish with raw coconut oil and curry leaves."
"puttu","Kerala Steamed Puttu","Cylindrical steamed cakes made of ground rice and coconut, a breakfast staple of Kerala.","25 mins","280","Kerala | Breakfast | Vegan","2 cups Puttu Flour (Coarse Rice Flour) | 1 cup Grated Coconut | Water | Salt","Step 1: The Crumb. Moistening flour with salted water until it reaches a damp sand consistency. | Step 2: The Layer. In a Puttu Kutti (steamer), layer coconut and rice flour alternately. | Step 3: The Steam. Steam for 8-10 minutes until steam escapes from the top vents. | Step 4: Serving. Serve hot with Kadala Curry or banana."
"ven pongal","Savory Ven Pongal","A comforting Tamil Nadu porridge made with rice and moong dal, tempered with black pepper and ginger.","30 mins","330","Breakfast | Comfort Food | Vegetarian","1 cup Rice | 1/2 cup Moong Dal | Ghee | Black pepper | Cumin | Ginger | Cashews","Step 1: The Roast. Lightly roast dal until fragrant. | Step 2: The Pressure Cook. Cook rice and dal together until very soft and mashable. | Step 3: The Tempering. Heat ghee. Fry cashews, cumin, crushed pepper, and ginger. | Step 4: The Mix. Fold the tempering and curry leaves into the hot pongal."
"medhu vada","Crispy Medhu Vada","Savory, doughnut-shaped lentil fritters that are crunchy on the outside and soft on the inside.","30 mins","97","South Indian | Breakfast | Vegan | Protein","1 cup Urad Dal | Green chilies | Ginger | Black peppercorns | Curry leaves | Oil for frying","Step 1: The Grind. Grind soaked dal with minimal water into a thick, fluffy batter. | Step 2: The Aeration. Whisk the batter vigorously to incorporate air. | Step 3: The Shape. Wet hands, take a ball of batter, make a hole in center. | Step 4: The Fry. Deep fry in hot oil until golden brown and crispy."
"lemon rice","Tangy Lemon Rice","A vibrant, aromatic rice dish tempered with mustard seeds, peanuts, and fresh lemon juice.","20 mins","237","Quick | Vegan | South Indian","2 cups Cooked Rice | 2 Lemons | Peanuts | Mustard seeds | Turmeric | Green chilies","Step 1: The Tadka. Fry mustard seeds, peanuts, and urad dal in oil until golden. | Step 2: The Color. Add turmeric and chilies. | Step 3: The Toss. Fold in cooked rice. Ensure every grain is coated. | Step 4: The Finish. Turn off heat and squeeze fresh lemon juice. Mix well."
"bisi bele bath","Karnataka Bisi Bele Bath","A spicy, tangy one-pot meal of rice, lentils, and vegetables, quintessential to Karnataka.","45 mins","320","Karnataka | One-Pot | Spicy","1 cup Rice | 1/2 cup Toor Dal | Mixed Veg | Bisi Bele Bath Masala | Tamarind | Ghee","Step 1: The Base. Cook rice and dal together until soft. | Step 2: The Veg. Sauté vegetables and cook with tamarind and masala powder. | Step 3: The Fusion. Combine all components with extra water to achieve a semi-liquid consistency. | Step 4: The Finish. Temper with ghee-fried cashews and curry leaves."
"appam","Kerala Lace Appam","Fermented rice and coconut milk pancakes with a soft, spongy center and crispy, lacy edges.","30 mins","120","Kerala | Breakfast | Vegan-Option","2 cups Rice | 1 cup Grated Coconut | Yeast or Toddy | Sugar | Salt","Step 1: The Batter. Grind soaked rice and coconut. Ferment with yeast for 8 hours. | Step 2: The Pour. Ladle batter into a hot Appam Chatti. | Step 3: The Swirl. Rotate the pan to spread batter to edges. | Step 4: The Steam. Cover and cook until edges are brown and center is set."
"curd rice","Soothing Curd Rice","The ultimate South Indian comfort food: soft-cooked rice mixed with fresh yogurt and tempered spices.","15 mins","190","Healthy | Comfort Food | Vegetarian","1 cup Cooked Rice | 1 cup Fresh Yogurt | Mustard seeds | Ginger | Pomegranate (optional)","Step 1: The Mash. Mash warm rice until grains are broken. | Step 2: The Blend. Mix with yogurt and a splash of milk to maintain creaminess. | Step 3: The Tempering. Fry mustard seeds, ginger, and curry leaves. | Step 4: The Garnish. Fold in tempering. Top with pomegranate or grapes for a traditional touch."
"tortilla","Traditional Spanish Tortilla de Patatas","The iconic confit-style omelet from Spain, focusing on the perfect balance of egg and olive oil-poached potatoes.","40 mins","420","Authentic | Vegetarian","6 Large organic eggs | 1.5 lbs Yukon Gold potatoes, peeled and sliced into 1/8 inch rounds | 1 Large white onion, thinly sliced | 2 cups Extra virgin olive oil (for poaching) | Sea salt to taste","Step 1: The Precision Cut (Mise en Place). Slice the **1.5 lbs of potatoes** into uniform 1/8 inch rounds. Slice the **1 large onion** into thin moon-shaped slivers. | Step 2: The Potato Poaching. Heat the **2 cups olive oil** in a deep skillet. Add potatoes and onions. Simmer gently for 15-20 mins until potatoes are tender. | Step 3: The Drain and Rest. Carefully drain the potatoes and onions in a colander, reserving the flavored oil. Let them cool slightly for 5 minutes. | Step 4: The Egg Binding. Whisk the **6 large eggs** in a large bowl with a **generous pinch of sea salt**. Gently fold in the warm potatoes and onions. Let the mixture sit for 10 minutes. | Step 5: The Initial Sear. Heat **2 tbsp of the reserved oil** in a non-stick pan over medium-high heat. Pour in the mixture. Spread evenly and cook for 2 minutes until edges are set. | Step 6: The Flip. Place a plate over the pan. In one swift motion, invert the pan. Slide the tortilla back into the pan to cook the other side. | Step 7: The Finishing. Tuck the edges under using a spatula. Cook for 2 more minutes. The center should remain slightly 'jugosa' (juicy/moist). | Step 8: The Plating & Tapas Arrangement. Slice into 8 uniform wedges. Top with a **dollop (1 tsp)** of alioli and a single pajarito pepper. Serve with crusty bread."
"steamed rice","Perfect Steamed Rice","The fundamental foundation of global cuisine, focused on achieving distinct, fluffy, and tender grains.","20 mins","130","Basic | Vegan | Gluten-Free | Essential","1 cup Long-grain or Medium-grain Rice | 2 cups Water | Pinch of Salt","Step 1: The Wash. Rinse rice under cold water until it runs completely clear to remove excess surface starch. | Step 2: The Ratio. Combine rice and water in a heavy-bottomed pot. | Step 3: The Simmer. Bring to a boil, then immediately reduce to the lowest possible simmer. Cover with a tight-fitting lid. | Step 4: The Rest. Remove from heat after 15 minutes. Let it sit, undisturbed, for 5 minutes. | Step 5: The Fluff. Use a fork to gently lift and separate the grains."
"basmati rice","Aromatic Basmati Rice","Fragrant, extra-long-grain rice cooked to perfection with individual, elongated grains.","25 mins","120","Indian | Aromatic | Side Dish","1 cup Aged Basmati Rice | 1.75 cups Water | 1 tsp Oil or Ghee | Whole spices (Optional: Cardamom, Cloves)","Step 1: The Soak. Soak washed rice for 30 minutes. This is critical for grain elongation. | Step 2: The Infusion. Sauté whole spices in ghee for 30 seconds before adding rice. | Step 3: The Absorption. Add water and salt. Cook on a very low flame with the lid sealed. | Step 4: The Steam. Allow the rice to finish cooking in its own steam for 10 minutes after turning off the heat."
"jeera rice","Cumin-Tempered Jeera Rice","A restaurant-style aromatic rice dish tempered with cumin seeds and whole spices.","20 mins","180","Indian | Aromatic | Vegetarian","2 cups Cooked Basmati Rice | 1 tbsp Ghee | 2 tsp Cumin seeds | Green chili | Fresh Cilantro","Step 1: The Tempering. Heat ghee in a large wok. Add cumin seeds and let them crackle and turn dark brown. | Step 2: The Sauté. Add slit green chili and a sprig of curry leaves. | Step 3: The Toss. Add cooked, cooled rice. Toss gently on high heat for 2-3 minutes. | Step 4: The Garnish. Finish with a generous amount of chopped cilantro."
"vegetable pulao","Fragrant Vegetable Pulao","A one-pot aromatic rice dish loaded with seasonal vegetables and mild spices.","35 mins","250","Indian | One-Pot | Vegetarian","1.5 cups Basmati Rice | Mixed Veg (Carrots, Peas, Beans, Potato) | Whole Spices | Onions | Ginger-Garlic paste","Step 1: The Base. Sauté onions and ginger-garlic paste until golden. | Step 2: The Veg. Add vegetables and sauté for 2 minutes with salt and a pinch of garam masala. | Step 3: The Toast. Add soaked rice and stir gently to coat each grain in oil. | Step 4: The Cook. Add water (1:1.5 ratio). Cook under pressure for 1 whistle or in a pot until water is absorbed."
"hyderabadi biryani","Hyderabadi Dum Biryani","The crown jewel of Indian cuisine: layered, partially cooked rice and marinated meat slow-cooked (Dum) to perfection.","90 mins","550","Indian | Celebratory | Spicy | High Protein","1kg Chicken or Mutton | 750g Basmati Rice | Yogurt | Fried Onions (Birista) | Saffron Milk | Mint & Cilantro | Biryani Masala","Step 1: The Marination. Marinate meat in yogurt, spices, and ginger-garlic for at least 4 hours. | Step 2: The Parboiling. Cook rice with whole spices until exactly 70% done (should have a bite). | Step 3: The Layering. In a heavy handi, layer marinated meat, then parboiled rice. Top with birista, mint, and saffron. | Step 4: The Dum. Seal the pot with dough or foil. Cook on high for 5 mins, then on a tawa (low heat) for 45 mins. | Step 5: The Reveal. Open the seal. Mix very gently from the side to maintain the color contrast."
"egg fried rice","Wok-Tossed Egg Fried Rice","A high-heat Chinese classic focusing on 'Wok Hei' and perfectly seasoned, separate grains.","15 mins","320","Chinese | Quick | Protein-Rich","3 cups Cold, Day-old Rice | 3 Eggs | Soy Sauce | Sesame Oil | Spring Onions | Garlic","Step 1: The Prep. Break up cold rice clumps. Whisk eggs with a dash of soy. | Step 2: The Scramble. Sauté garlic in a smoking hot wok. Add eggs and scramble quickly into small curds. | Step 3: The Char. Add rice. Toss vigorously on max heat to sear the grains. | Step 4: The Seasoning. Drizzle soy sauce and sesame oil around the edges of the wok. | Step 5: The Garnish. Fold in chopped spring onion greens and serve immediately."
"sushi rice","Seasoned Sushi Rice (Shari)","Short-grain Japanese rice seasoned with vinegar, sugar, and salt, characterized by its glossy appearance and slight stickiness.","45 mins","150","Japanese | Technical | Vegetarian","2 cups Sushi Rice (Koshihikari) | 2.5 cups Water | Sushi Vinegar (Rice Vinegar, Sugar, Salt)","Step 1: The Polishing. Wash rice 5-6 times by gently rubbing grains together until water is crystal clear. | Step 2: The Soak. Soak for 30 mins to ensure even hydration. | Step 3: The Cook. Cook in a rice cooker or heavy pot with exact measurements. | Step 4: The Seasoning. While hot, transfer to a wooden hangiri. Use a slicing motion with a spatula to fold in vinegar while fanning the rice to cool it rapidly and create a gloss."
"seafood paella","Authentic Seafood Paella","The soul of Spanish cuisine: saffron-infused Bomba rice cooked with a bounty of fresh seafood and a 'Socarrat' crust.","50 mins","450","Spanish | Seafood | Celebratory","2 cups Bomba Rice | Shrimp, Mussels, Calamari | Saffron threads | Fish stock | Sofrito (Tomato, Pepper, Garlic)","Step 1: The Sofrito. Cook the base sofrito in a wide paella pan until deep red and jammy. | Step 2: The Toast. Add rice and stir until translucent. | Step 3: The Infusion. Add hot saffron-infused stock. Do not stir from this point onwards. | Step 4: The Seafood. Arrange seafood on top during the last 8 minutes of cooking. | Step 5: The Socarrat. Increase heat for the last 2 minutes to create the prized caramelized crust at the bottom."
"kheer","Creamy Rice Kheer","A traditional Indian slow-cooked rice pudding flavored with cardamom and garnished with nuts.","45 mins","220","Dessert | Indian | Creamy","1/4 cup Basmati Rice | 1 Liter Full-fat Milk | 1/2 cup Sugar | Cardamom powder | Almonds & Pistachios","Step 1: The Reduction. Simmer milk in a heavy-bottomed pan until it reduces by 20%. | Step 2: The Slow Cook. Add washed rice and cook on low heat, stirring occasionally to prevent burning, until rice is completely soft. | Step 3: The Sweetening. Add sugar and cardamom once the mixture reaches a thick, creamy consistency. | Step 4: The Finish. Garnish with slivered nuts. Serve warm or chilled."
"pani puri","Artisanal Pani Puri (Gol Gappa)","The crown jewel of Indian street food. Crispy hollow semolina balls filled with spiced potatoes and tangy, mint-infused 'pani'.","45 mins","180","Indian | Street Food | Spicy | Vegetarian","Semolina Puris | Mashed Potatoes | Boiled Chickpeas | Mint & Coriander leaves | Green Chilies | Ginger | Tamarind Pulp | Black Salt | Chaat Masala","Step 1: The Spiced Water. Blend mint, coriander, ginger, and chilies into a fine paste. Mix with cold water, tamarind pulp, black salt, and chaat masala. Chill for best flavor. | Step 2: The Filling. Mix mashed potatoes with chickpeas, red chili powder, and a pinch of salt. | Step 3: The Assembly. Carefully poke a hole in the top of the puri. Fill with the potato mixture. | Step 4: The Dip. Dip the filled puri into the spiced water and consume immediately in one bite for the ultimate flavor explosion."
"aloo tikki chaat","Royal Aloo Tikki Chaat","Crispy potato patties topped with a medley of chutneys, sweetened yogurt, and crunchy sev.","30 mins","320","Indian | Street Food | Comfort Food | Vegetarian","4 Boiled potatoes | 2 tbsp Cornflour | Sweetened Yogurt | Green Chutney | Tamarind Chutney | Fine Sev | Pomegranate seeds","Step 1: The Tikki. Mash potatoes, mix with cornflour and salt. Shape into thick discs. | Step 2: The Crisp. Shallow fry the patties on medium heat until the exterior is dark golden and ultra-crispy. | Step 3: The Layering. Place tikkis on a plate, lightly crush them. Generously top with whisked yogurt, then the green and tamarind chutneys. | Step 4: The Garnish. Sprinkle with chaat masala, fine sev, and fresh coriander. Finish with pomegranate seeds for a burst of sweetness."
"papdi chaat","Heritage Papdi Chaat","A symphony of textures featuring crispy flour crackers, creamy yogurt, and zesty spices.","20 mins","280","Indian | Street Food | Quick | Vegetarian","Papdis (Flour crackers) | Boiled Potatoes | Chickpeas | Yogurt | Tamarind Chutney | Green Chutney | Chaat Masala","Step 1: The Base. Arrange papdis in a single layer on a serving platter. | Step 2: The Loading. Top each papdi with diced potatoes and chickpeas. | Step 3: The Drizzle. Pour seasoned yogurt over the crackers, followed by swirls of mint and tamarind chutneys. | Step 4: The Final Touch. Dust with chaat masala and garnish with sev and fresh coriander."
"bhel puri","Mumbai Style Bhel Puri","A light and refreshing savory snack made with puffed rice, vegetables, and tangy chutneys.","15 mins","150","Indian | Street Food | Healthy-ish | Vegan-Option","Puffed Rice (Murmura) | Fine Sev | Chopped Onions | Tomatoes | Boiled Potatoes | Peanuts | Tamarind Chutney | Green Chutney","Step 1: The Crunch. In a large bowl, combine puffed rice with peanuts and sev. | Step 2: The Freshness. Add finely chopped onions, tomatoes, and potatoes. | Step 3: The Zest. Quickly fold in the mint and tamarind chutneys along with a squeeze of lemon juice. | Step 4: The Serve. Toss everything together and serve immediately before the puffed rice turns soggy."
"samosa chaat","Deconstructed Samosa Chaat","Crispy samosas broken down and topped with a spicy chickpea curry (Chana Masala) and chutneys.","25 mins","450","Indian | Street Food | Indulgent | Vegetarian","2 Samosas | 1 cup Chana Masala | Yogurt | Tamarind Chutney | Green Chutney | Onions | Coriander","Step 1: The Foundation. Roughly break the samosas into 3-4 pieces on a plate. | Step 2: The Gravy. Pour hot, spiced Chana Masala over the samosa pieces. | Step 3: The Toppings. Add dollops of yogurt and both chutneys. | Step 4: The Crunch. Garnish with chopped onions, sev, and fresh coriander leaves."
"dahi puri","Velvety Dahi Puri","Crispy puris filled with potatoes and chickpeas, then drowned in sweetened yogurt and chutneys.","20 mins","240","Indian | Street Food | Creamy | Vegetarian","Semolina Puris | Potatoes | Sweetened Yogurt | Tamarind Chutney | Green Chutney | Chaat Masala | Sev","Step 1: The Prep. Poke holes in the puris and fill them with a mixture of boiled potatoes and chickpeas. | Step 2: The Drowning. Fill each puri to the brim with smooth, whisked, sweetened yogurt. | Step 3: The Tang. Add drops of green and tamarind chutneys on top of the yogurt. | Step 4: The Finish. Sprinkle generously with chaat masala and a mountain of fine sev."
"sev puri","Classic Mumbai Sev Puri","Flat crispy papdis topped with potatoes, three types of chutneys, and a heavy layer of sev.","15 mins","210","Indian | Street Food | Savory | Vegetarian","Flat Papdis | Mashed Potatoes | Onions | Raw Mango (seasonal) | Garlic Chutney | Tamarind Chutney | Green Chutney | Sev","Step 1: The Base. Lay out flat papdis on a plate. | Step 2: The Build. Add a layer of spiced mashed potatoes followed by chopped onions and raw mango. | Step 3: The Three Chutneys. Add spicy garlic chutney, sweet tamarind chutney, and tangy green chutney. | Step 4: The Sev Cover. Top each papdi with a generous amount of sev until the base is barely visible."
"raj kachori","The King of Chaats (Raj Kachori)","A giant crispy kachori shell stuffed with a royal assortment of lentils, potatoes, yogurt, and every imaginable chutney.","40 mins","550","Indian | Street Food | Royal | Indulgent","Large crispy Kachori shell | Sprouted lentils | Boiled potatoes | Dahi Bhalla pieces | Thick Yogurt | Pomegranate | Grapes | Assorted Chutneys","Step 1: The Shell. Create a large hole in the top of the oversized kachori. | Step 2: The Stuffing. Fill with sprouts, potatoes, and small pieces of dahi bhalla. | Step 3: The Royal Pour. Layer with thick, sweetened yogurt followed by emerald mint and ruby tamarind chutneys. | Step 4: The Jewel Garnish. Decorate with pomegranate seeds, grapes, sev, and a dusting of roasted cumin powder."
"dahi bhalla","Soft & Spongy Dahi Bhalla","Lentil dumplings soaked in water then topped with creamy yogurt and tangy chutneys.","60 mins","310","Indian | Street Food | Soft | Vegetarian","Urad Dal (split black gram) | Ginger | Green Chilies | Yogurt | Roasted Cumin powder | Red Chili powder | Tamarind Chutney","Step 1: The Batter. Grind soaked urad dal with ginger and chilies into a fluffy batter. | Step 2: The Fry. Fry small balls of batter until light golden. | Step 3: The Soak. Immediately soak the fried bhallas in warm water for 20 mins, then squeeze gently to remove excess water. | Step 4: The Plating. Cover the bhallas with thick, whisked yogurt. Top with tamarind chutney and a sprinkle of roasted cumin and red chili powder."
"banh mi","Saigon Style Banh Mi","The ultimate fusion sandwich. A crusty baguette filled with savory pate, pickled vegetables, and cilantro.","20 mins","420","Vietnamese | Street Food | Fusion | Quick","Vietnamese Baguette | Pork Liver Pate | Pickled Daikon & Carrots | Cucumber | Cilantro | Soy Sauce | Mayo","Step 1: The Bread. Toast baguette until the exterior is shattering-crisp. | Step 2: The Foundation. Spread a thick layer of pate on one side and mayo on the other. | Step 3: The Loading. Layer with sliced pork or tofu, fresh cucumbers, and tangy pickled vegetables. | Step 4: The Garnish. Top with plenty of fresh cilantro, soy sauce, and optional bird's eye chilies."
"tteokbokki","Seoul Spicy Tteokbokki","Chewy rice cakes simmered in a thick, sweet, and fiery gochujang sauce.","25 mins","480","Korean | Street Food | Spicy | Vegetarian-Option","Cylindrical Rice Cakes (Tteok) | Gochujang (Chili Paste) | Gochugaru (Chili Flakes) | Fish Cakes | Dashi stock | Green onions","Step 1: The Sauce. Whisk gochujang, gochugaru, sugar, and soy sauce into the dashi stock. | Step 2: The Simmer. Add rice cakes and fish cakes to the sauce. Cook over medium heat. | Step 3: The Reduction. Simmer until the sauce thickens and the rice cakes are tender and chewy. | Step 4: Finishing. Garnish with chopped green onions and a boiled egg."
"elote","Mexican Street Corn (Elote)","Grilled corn on the cob slathered in a creamy, tangy sauce and coated in salty cotija cheese.","15 mins","290","Mexican | Street Food | Vegetarian | Quick","Fresh Corn on the cob | Mayo & Mexican Crema | Cotija Cheese | Chili Powder | Lime juice | Cilantro","Step 1: The Grill. Grill corn until charred in spots across the whole surface. | Step 2: The Coating. Mix mayo, crema, and lime juice. Brush generously over the hot corn. | Step 3: The Cheese. Roll the corn in crumbled cotija cheese until evenly coated. | Step 4: The Final Kick. Sprinkle with chili powder and fresh cilantro. Serve with extra lime."
"currywurst","Berlin Currywurst","Steam-fried bratwurst topped with a signature spiced tomato sauce and plenty of curry powder.","20 mins","520","German | Street Food | Savory | Classic","Bratwurst | Tomato Ketchup | Curry Powder | Worcestershire sauce | Paprika | Onion powder","Step 1: The Sausage. Fry the bratwurst until browned and cooked through. Slice into bite-sized pieces. | Step 2: The Sauce. Mix ketchup with paprika, onion powder, and a dash of Worcestershire. Simmer briefly. | Step 3: The Assembly. Pour the sauce over the sliced sausage. | Step 4: The Finish. Dust heavily with high-quality curry powder. Serve with a side of fries or a crusty roll."
"gyros","Authentic Greek Gyros","Spiced meat wrapped in warm pita with creamy tzatziki, tomatoes, onions, and crispy fries.","30 mins","610","Greek | Street Food | Mediterranean | Protein","Pork or Chicken (sliced thin) | Pita Bread | Tzatziki | Tomatoes | Red Onions | French Fries","Step 1: The Meat. Marinate meat in lemon, garlic, and oregano. Pan-sear until crispy. | Step 2: The Pita. Lightly oil and char pita bread on a griddle. | Step 3: The Wrap. Spread tzatziki on pita. Layer meat, vegetables, and—crucially—a handful of fries inside. | Step 4: The Roll. Fold tightly and serve wrapped in parchment paper for the true street experience."
"koshary","Egyptian Koshary","The national dish of Egypt. A hearty mix of rice, lentils, pasta, and chickpeas topped with a spicy tomato sauce and crispy onions.","45 mins","450","Egyptian | Street Food | Vegan | Complex","Rice | Brown Lentils | Macaroni | Chickpeas | Tomato Sauce | Fried Onions | Garlic sauce","Step 1: The Grains. Cook rice, lentils, and pasta separately. Mix them together for the base. | Step 2: The Sauce. Simmer tomato sauce with garlic and spices until rich. | Step 3: The Zest. Mix vinegar, garlic, and cumin for the tangy drizzle. | Step 4: The Build. Layer the grains, top with tomato sauce, chickpeas, and a mountain of crispy fried onions."
"baozi","Steamed Baozi (Buns)","Soft, pillowy steamed buns filled with savory pork and cabbage.","120 mins","220","Chinese | Street Food | Soft | Comfort","Yeast dough | Ground Pork | Napa Cabbage | Ginger | Soy Sauce | Sesame Oil","Step 1: The Dough. Knead yeast dough and let rise until doubled. | Step 2: The Filling. Mix pork with finely chopped cabbage, ginger, and soy sauce. | Step 3: The Pinch. Divide dough into rounds. Place filling in center and pinch and fold to close. | Step 4: The Steam. Steam for 15-20 minutes until the dough is airy and the filling is juicy."
"pao de queijo","Brazilian Cheese Bread","Small, chewy cheese rolls made with tapioca flour, making them naturally gluten-free.","30 mins","140","Brazilian | Street Food | Gluten-Free | Vegetarian","Tapioca Flour | Milk | Oil | Eggs | Minas or Parmesan Cheese","Step 1: The Prep. Heat the milk and oil, then pour over tapioca flour to create a sticky dough. | Step 2: The Blend. Mix in eggs and plenty of grated cheese until smooth. | Step 3: The Shape. Form into small balls with oiled hands. | Step 4: The Bake. Bake at high heat until golden and puffed. Serve while hot and stretchy."
"bunny chow","Durban Bunny Chow","A hollowed-out loaf of white bread filled with spicy, aromatic mutton or bean curry.","60 mins","750","South African | Street Food | Spicy | Unique","Quarter Loaf White Bread | Mutton or Bean Curry | Carrot Salad","Step 1: The Curry. Prepare a rich, deep-flavored curry with ginger, garlic, and Durban spices. | Step 2: The Bread. Hollow out the center of a quarter loaf of bread, keeping the 'virgin' crumb piece for dipping. | Step 3: The Fill. Ladle the hot curry into the hollowed bread. | Step 4: Serve. Top with carrot salad. Eat entirely with your hands, using the bread to soak up the gravy."
